smiles,copo_smiles,construction,architecture,complement,HOMO,LUMO,electrochemical_gap,optical_gap,PCE,V_OC,J_SC,fill_factor
Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6cc(S(C)(=O)=O)sc65)s4)sc3c(-c3ccc(C)s3)c3ccsc32)s1,,polymer,bulk,PC71BM,0.5625,0.35,0.2125,0.275449101796407,0.896511627906977,0.293706293706294,0.975501113585746,0.905444126074499
Cc1cc(-c2cc3c4nsnc4c(-c4cc(C)c(-c5cccs5)s4)cc3c3nsnc32)sc1-c1cccs1,,polymer,bulk,PC61BM,0.7125,0.23,0.4825,0.245508982035928,0.72093023255814,0.342657342657343,0.658129175946548,0.944126074498567
Cc1cc(-c2c3cc(-c4cccs4)sc3c(-c3cc(C)c(C)s3)c3cc(-c4ccc(-c5ccc6c(c5F)N(C)C(=O)C6=C5c6cccc(F)c6N(C)C5=O)s4)sc32)sc1C,,polymer,bulk,PC71BM,0.4125,0.10,0.3125,,0.651162790697674,0.440559440559441,0.05456570155902,0.843839541547278
C#Cc1cc(OC)c(C#Cc2scc3nc(-c4ccccc4)c(-c4ccccc4)nc32)cc1OC,,polymer,bulk,PC61BM,0.63125,0.47,0.16125,0.263473053892216,0.144186046511628,0.300699300699301,0.237750556792873,0.57163323782235
Cc1csc(-c2ccc(-c3cc(C)c(-c4cc5c(s4)c(-c4ccc(C)cc4)c4ccsc4c5-c4ccc(C)cc4)s3)c3nsnc32)c1,,polymer,bulk,PC71BM,0.59375,0.49,0.10375,0.341317365269461,1,0.426573426573427,0.710467706013363,0.0687679083094556
CC1=CC(c2cc(C)c(-c3ccc(-c4sc(-c5nc(C)c(-c6cccs6)s5)nc4C)s3)s2)=S=C1,,polymer,bulk,PC71BM,0.7,0.72,-0.02,0.461077844311377,0.288372093023256,0.34965034965035,0.474387527839644,0.507163323782235
CN1C(=O)C2=C(c3ccc(-c4ccc(C(F)(F)F)cc4)s3)N(C)C(=O)C2=C1c1ccc(-c2ccc(C(F)(F)F)cc2)s1,,molecule,bilayer,C60,0.6625,0.389221556886228,0.273278443113772,0.383233532934132,0.0232558139534884,0.146853146853147,0.0963251670378619,0.45702005730659
Cc1nc(-c2nc(C)c(-c3ccc(C4=S=C5c6cc7c(cc6C(C)(C)C5=C4)-c4sccc4C7(C)C)s3)s2)sc1-c1cccs1,,polymer,bulk,PC71BM,0.65,0.808383233532934,-0.158383233532934,0.520958083832335,0.31046511627907,0.440559440559441,0.403674832962138,0.548710601719198
Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccs8)s7)c7nsnc76)s5)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,,polymer,bulk,PC61BM,0.525,0.35,0.175,0.377245508982036,0.438372093023256,0.398601398601399,0.474387527839644,0.714899713467049
COc1cccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5cc6c(s5)c(-c5ccc(C)s5)c5ccsc5c6-c5ccc(C)s5)s4)c3nc2-c2cccc(OC)c2)c1,,polymer,bulk,PC71BM,0.7375,0.42,0.3175,0.323353293413174,0.569767441860465,0.342657342657343,0.0528953229398664,0.876790830945559
C=Cc1ccc2c3ccc(C=Cc4sc(-c5cc(C)cs5)cc4C)cc3n(-c3ccc(OC)cc3)c2c1,,polymer,bulk,PC61BM,0.50625,0.568862275449102,-0.062612275449102,0.802395209580838,0.0232558139534884,0.195804195804196,0.0378619153674833,0.643266475644699
C=Cc1ccc2c3ccc(C=Cc4ccc(-c5ccc(C6=C(C)C(C)=C(c7ccc(-c8cccs8)s7)S6(=O)=O)s5)s4)cc3n(-c3ccc(OC)cc3)c2c1,,polymer,bulk,PC61BM,0.5,0.389221556886228,0.110778443113772,0.520958083832335,0.0813953488372093,0.370629370629371,0.076837416481069,0.743553008595989
CC1(C)c2ccsc2-c2cc3c(cc21)-c1sc(-c2ccc(-c4nc5sc(-c6cccs6)nc5s4)s2)cc1C3(C)C,,polymer,bulk,PC71BM,0.68125,0.72,-0.03875,0.419161676646707,0.661627906976744,0.433566433566434,0.730512249443207,0.656160458452722
C=Cc1ccc2c3ccc(C=Cc4sc(-c5ccc(-c6ccc(-c7cc(C)cs7)s6)s5)cc4C)cc3n(-c3ccc(OC)cc3)c2c1,,polymer,bulk,PC61BM,0.6,0.71,-0.11,0.784431137724551,0.0116279069767442,0.160839160839161,0.032293986636971,0.57163323782235
COc1c(OC)c(-c2ccc(-c3cc4c(s3)c(-c3ccc(C)s3)c3ccsc3c4C3=S=C(C)C=C3)s2)c2nsnc2c1-c1cccs1,,polymer,bulk,PC71BM,0.64375,0.40,0.24375,0.395209580838323,0.558139534883721,0.482517482517483,0.496659242761693,0.697707736389685
N#CC(=Cc1ccc(-c2ccc(-c3ccc(C=C(C#N)c4ccc([N+](=O)[O-])cc4)s3)c3c2C(=O)OC3=O)s1)c1ccc([N+](=O)[O-])cc1,,molecule,DSSC,TiO2,0.6,0.269461077844311,0.330538922155689,0.305389221556886,0.513953488372093,0.27972027972028,0.615812917594655,0.0415472779369628
COC(=O)C(C#N)=Cc1cc(C)c(-c2ccc(-c3sc(-c4cc5c(s4)-c4sc(-c6cc(C)c(-c7ccc(C8=S=C(C=C(C#N)C(=O)OC)C=C8C)s7)s6)cc4[Si]5(C)C)cc3C)s2)s1,,molecule,bulk,PC61BM,0.84375,0.53,0.31375,0.359281437125749,0.667441860465116,0.370629370629371,0.630846325167038,0.872492836676218
CN1C(=O)C2=C(c3ccc(-c4ccccc4)s3)N(C)C(=O)C2=C1c1cccs1,,polymer,bulk,PC71BM,0.59375,0.37,0.22375,0.239520958083832,0.627906976744186,0.370629370629371,0.0623608017817372,0.886819484240688
